Number, Authors,Year,Journal/Conference,Title,Cognitive,Perceptual,Involves Priming,Suggested Keywords,Detailed Comments,Agent/Avatar,Body Ownership,User Response,Participant Group,Relevance,Quality,Contributor (Your Name),Date Entered,
77,"Slater, Mel
Spanlang, Bernhard
Sanchez-Vives, Maria V.
Blanke, Olaf",2010,PloS ONE,First Person Experience of Body Transfer in Virtual Reality,Yes,Yes,Yes,"Anthropomorphic Face and Facial Expressions (SC),
Haptic / Tactile Interactions (SM)","participants see another avatar in VE, who interact with their own avatar, but the study is more focused on body ownership than the avatar-interacter relation.", Mixed,"Yes (degree of body transfer illusion in terms of perspective position, sync. of movement and tactile feedback)",Beliefs/Illusions,"24 male participants by advertisement around the campus (mean age: 27.6 +- 4.3 years), compensation: 10 Euro",High,High,Kangsoo,2013-01-30,v
78,"Slater, Mel
Spanlang, Bernhard
Corominas, David",2010,ACM Transactions on Graphics,Simulating Virtual Environments within Virtual Environments as the Basis for a Psychophysics of Presence,N/A,N/A,N/A,N/A,only inhabiter-avatar relation, Avatar,"Yes (not mentioned directly in the paper, but I think it is indirectly involved in body ownership during the simulation, for example, users see their virtual representations' body movement corresponding to their own movement)",N/A,"20 participants (10 males) recruited by advertisement through the university campus,
avg. age: 27 ± 8 years.
Only 2 had any prior experience of virtual reality.",Medium,High,Kangsoo,2013-01-30,
79,"Guadagno, Rosanna E.
Blascovich, Jim
Bailenson, Jeremy N.
Mccall, Cade",2007,Media Psychology,Virtual Humans and Persuasion: The Effects of Agency and Behavioral Realism,Yes,Yes,Yes,"Agency (P, R),
Anthropomorphic Face and Facial Expressions (SC)","Behavioral realism, gender, HMD",Agent,No, Behavior,"Study 1: 65 participants (29 female, 37 male) 
Study 2: 174 participants (89 female, 85 male) 

undergraduates who either received course credit or were paid $5 for their participation.",High,Medium,Kangsoo,2013-01-30,v
80,"Bailenson, Jeremy N.
Blascovich, Jim
Guadagno, Rosanna E.",2008,Journal of Applied Social Psychology,Self-Representations in Immersive Virtual Environments,N/A,N/A,N/A,N/A,only inhabiter-avatar relation, Avatar,No,N/A,"64 students (32 female, 32 male) who received partial credit for a course.
age: 18-22 (mean: 18.8)",Medium,High,Kangsoo,2013-01-30,
81,"Ahn, Sun Joo
Fox, Jesse
Bailenson, Jeremy N.",2012,(Book) Leadership in Science and Technology: A Reference Handbook,Avatars,N/A,N/A,N/A,N/A,N/A, N/A,No,N/A,N/A,Low,Medium,Kangsoo,2013-01-30,
82,"De Melo, Celso M.
Carnevale, Peter
Gratch, Jonathan",2011,Presence: Teleoperators & Virtual Environments,The Impact of Emotion Displays in Embodied Agents on Emergence of Cooperation with People,Yes, No, No,"Emotiveness (r) 
Facial Expressions (sc)
Synchronization of Stimuli (sc)","Agent cooperators are assessed based on their emotional facial expressions --> changes pattern of cooperation
People cooperate significantly more with the cooperative agent vs the individualistic one",Agent,No,"Cooperative Behavior
Decision-Making Process",51 USC students (avg. age 21.0), Medium,High,Remo,2013-02-08,
83,"Steptoe, William
Steed, Anthony",2012,Presence: Teleoperators & Virtual Environments,Multimodal Data Capture and Analysis of Interaction in Immersive Collaborative Virtual Environments, N/A, N/A, N/A,,Authors talk about general logging architecture for multi-modal trackers to facilitate future replay and analysis of human-surrogate interactions, Avatar,No,,, Low, Medium,Remo,2013-02-08,
84,"Demeure, Virginie
Niewiadomski, Radoslaw
Pelachaud, Catherine",2011,Presence: Teleoperators & Virtual Environments,"How Is Believability of a Virtual Agent Related to Warmth, Competence, Personification, and Embodiment?",Yes, No, No,"Emotiveness (p) 
Synchronization of Stimuli (sc)
Body Pose and Gestures (sc)
Cooperative Behavior (r)","Appropriate emotions lead to higher perceived believability and influence perceptions of warmth and competence. Considering an agent as believable can be different from having a human-like attitude toward it. Multi-modality in emotional displays is very important.

",Agent,No,"Believability of Agent
Warmth and Competence of Agent",104 online volunteers (avg. age 29.3; age range 19-60) + 40 volunteer students,High,High,Remo,2013-02-08,
85,"Ballester, Belén Rubio
Badia, Sergi Bermúdez i.
Verschure, Paul F. M. J.",2012,Presence: Teleoperators & Virtual Environments,Including Social Interaction in Stroke VR-Based Motor Rehabilitation Enhances Performance: A Pilot Study,Yes, No, No,Social Engagement,Being engaged in a social task with virtual humans increases rehabilitation efforts in patients compared to single-player sessions. Affected patients also showed more enjoyment in the social setting.,Agent,Yes (patient movements are mapped to 3D avatar in real-time),More rehabilitation effort in social situations.,8 stroke patients (only data from 6 used), Low, Low,Remo,2013-02-08,
86,"Smith, Cameron
et al.",2011,Presence: Teleoperators & Virtual Environments,Interaction Strategies for an Affective Conversational Agent,Yes,Yes, No,"Emotiveness (p) 
Synchronization of Stimuli (sc)
Responsiveness / Latency (r)","Conversational agent that displays appropriate responses resulted in perceived independence, emotiveness, and friendliness.
Latency can be tolerated to some degree, but uncertainty if response occurs is impactful.

",Agent,No,"Appropriateness of agent's response.
Affective behavior of agent.","12 participants (avg. age 33, age range 22 - 54)", Low, Medium,Remo,2013-02-08,
87,"Nisky, Ilana
Avraham, Guy
Karniel, Amir",2012,Presence: Teleoperators & Virtual Environments,Three Alternatives to Measure the Human-Likeness of a Handshake Model in a Turing-like Test,Yes,Yes,No,"Body Pose and Gestures (p, r)
Haptic / Tactile Interactions (sm)","Turing-like hand-shake test to see interrogator's feeling on hand shake movements. The study compares computer-generated hand-shake model with three conditions: i) pure--real human, ii) weighted--differently weighted (combined) real human's motion, iii) noise--combined human's motion with noise. PHANToM haptic device","Agent, Avatar and Mixed",No,Beliefs/Illusions,30 volunteers,High,High,Kangsoo,2013-02-08,v
88,"Ter Maat, Mark
Truong, Khiet P.
Heylen, Dirk",2011,Presence: Teleoperators & Virtual Environments,How Agents' Turn-Taking Strategies Influence Impressions and Response Behaviors,Yes,No,Yes (Wizard of Oz),"Talk/Speak (p, r)
Situational Plausibility (sc)","two studies: 
i) subjects as bystanders are requested their impression after listening unintelligible conversations generated by computers.
ii) subjects actively participate in the conversation which is about interview situation. an artificial agent (interviewer) is actually controlled by a human in a Wizard of Oz setting. (Priming)

* turn-taking strategy in conversation","Agents with no interaction,
Avatar (primed as an agent)",No,"Thoughts (impression of agents),
Behavior (speech)","10 participants (students, age 20-30, 6 males and 4 females),

22 participants (PhD ￼students, 16 males and 6 females, avg. age 27.55 (SD = 3.41)",High,High,Kangsoo,2013-02-08,v
89,"Normand, Jean-Marie
et al.",2012,Presence: Teleoperators & Virtual Environments,Full Body Acting Rehearsal in a Networked Virtual Environment--A Case Study,Yes,Yes,No,"Situational Plausibility (sc)
Display Technology (sm)
Tracking Accuracy (sm)
Network Connection (sm)","Networked shared virtual environment for theatrical rehearsal.

head-tracked HMD, full body tracking, Cave-like system, network latency,
facial expressions were not supported.",Avatar,Yes (indirectly related: actors can see and control their own avatar in virtual environment for rehearsal),Thoughts,"professional actor, amateur director, and amateur actress",Medium,High,Kangsoo,2013-02-08,v
90,"Kilteni, Konstantina
Groten, Raphaela
Slater, Mel",2012,Presence: Teleoperators & Virtual Environments,The Sense of Embodiment in Virtual Reality,N/A,N/A,N/A,N/A,"Review paper about measuring the sense of embodiment.
inhabiter-avatar relation.",Avatar,Yes (reviewing of measuring self embodiment in VE),N/A,N/A,Low,High,Kangsoo,2013-02-08,
91,"De Araújo, Anderson Souza
De Carvalho, Luís Alfredo Vidal
Da Costa, Rosa Maria E. Moreira",2010,Presence: Teleoperators & Virtual Environments,The Influence of Intelligent Characters on Users' Navigation Through a Three-Dimensional Virtual Environment,Yes,Yes,No,"Agency (p): Intelligence --> Talk/Speak (p)
Anthropomorphic Appearance (sc)
Tracking Accuracy (sm): body position sensors or user-input devices","Study about the potential of virtual characters in influencing users’ decisions in 3D virtual environments.
The standard character had more influence on the users’ choices than the user-customized character.",Agent,No,Behaviors (decision-making: navigation choice),"40 university student volunteers (age: 18-44, mean age: 24)
No experience VE navigation.",High,Medium,Kangsoo,2013-02-08,v
92,"Fox, Jesse
Bailenson, Jeremy
Binney, Joseph",2009,Presence: Teleoperators & Virtual Environments,"Virtual Experiences, Physical Behaviors: The Effect of Presence on Imitation of an Eating Avatar",N/A,N/A,Yes (experimenter does not mention about the real purpose of candies next to participants during questionnaire in this experiment),N/A,"Study about the relationship between the environmental manipulations and the behavioral outcome of imitating the avatar’s eating behavior.

relationshipe between presence and user's behavior,
HMD, head tracking (3-axis orientation sensing)",Avatar,No,Behaviors,"69 students (32 male, 37 female)
age: 18-29 (mean: 20.20, standard dev.: 1.55)
compensation: course credit or $20",Low,Low,Kangsoo,2013-02-08,
93,"Jin, Seung-A Annie",2010,Presence: Teleoperators & Virtual Environments,Parasocial Interaction with an Avatar in Second Life: A Typology of the Self and an Empirical Test of the Mediating Role of Social Presence,N/A,N/A,No,N/A,"it does not mention about the avatar's characteristics.
user's charateristic is the main concern in the paper.
Interdependent self-construal experiences closer PSI and stronger social presence.",Avatar,No,"Beliefs (Parasocial Interaction, Social Presence)","179 undergraduate students from communication courses at Boston College (136 females, 43 males)
Mean age: 19.80, SD: 0.99
voluntary,no monetary compensation",Low,Medium,Kangsoo,2013-02-08,
94,"MacDorman, Karl F.
et al.",2010,Presence: Teleoperators & Virtual Environments,Gender Differences in the Impact of Presentational Factors in Human Character Animation on Decisions in Ethical Dilemmas,Yes,Yes,No,"Anthropomorphic Appearance (sc)
Graphical Fidelity (sm)",Study of the influence of a character’s presentation on decision making in an ethical dilemma.,N/A (video clip),No,Behaviors (decision-making: ethical dilemma),"682 participants (396 (58.1%) female, 286 (41.9%) male),

467 (68.5%) of all participants were aged 18 to 25,
637 (93.4%) listed their country of origin as the United States, and 624 (91.5%) were part-time or full-time students.

undergraduate students and recent graduates of a nine-campus Midwestern university. ",Medium,High,Kangsoo,2013-02-08,
95,"Peer, Angelika
Pongrac, Helena
Buss, Martin",2010,Presence: Teleoperators & Virtual Environments,Influence of Varied Human Movement Control on Task Performance and Feeling of Telepresence,N/A,N/A,No,N/A,"relation between avatar-inhabiter.

teleoperation system with HMD and robotic body.
How do humans utilize DOF provided by a given human-system interface?
How does varied human movement control influence task performance?", Avatar,No,Task completion time,"16 subjects (8 female, 8 male), All right-handed. 
age: 20-34 (mean 26.25, SD 3.96).
15 participants had no experience with VE or telepresence systems,
1 participant had a high degree of experience with such systems.",Medium,Medium,Kangsoo,2013-02-08,
96,"Seyama, Jun'ichiro
Nagayama, Ruth S.",2009,Presence: Teleoperators & Virtual Environments,Probing the Uncanny Valley with the Eye Size Aftereffect,N/A,N/A,No,N/A,"The experiments evaluated a facial aftereffect where prolonged observation of adaptation faces with enlarged eyes induced a bias to underestimate the eye size of test faces.
The results showed that adaptation to natural stimuli induced the aftereffect for both natural and artificial test stimuli.
The perception and cognition of artificial faces based on psychological findings about the perception and cognition of natural faces.
However, artificial stimuli required a longer adaptation period (120 s) for the aftereffect to be induced compared to natural stimuli (60 s).",N/A (facial image),No,Thoughts (whether the eye size of each stimulus was abnormally large or not),"Exp 1. 50 participants (mean age: 20.5, 16 males, 33 females, 1 unknown sex)

Exp 2. 56 participants (mean age: 22.3, 21 males, 35 females)

Exp 3. 48 participants (mean age: 23.6, 13 males, 33 females, 2 unknown sex).",Low,Medium,Kangsoo,2013-02-08,
97,"Wagner, Ina
Broll, Wolfgang
Jacucci, Giulio
et al.",2009,Presence: Teleoperators & Virtual Environments,On the Role of Presence in Mixed Reality,,,,,,,,,,,,Myungho,2013-02-08,
98,"Wellner, Mathias
Sigrist, Roland
Riener, Robert",2010,Presence: Teleoperators & Virtual Environments,Virtual Competitors Influence Rowers,,,,,,,,,,,,Myungho,2013-02-08,
99,"Besmann, Anna
Rios, Kimberly",2012,"CyberPsychology, Behavior & Social Networking",Pals in Power Armor: Attribution of Human-Like Emotions to Video Game Characters in an Ingroup/Outgroup Situation,,,,,,,,,,,,Remo,2013-02-08,
100,"Germain, Vanessa Marchand, André et al.",2010,"CyberPsychology, Behavior & Social Networking",Assessment of the Therapeutic Alliance in Face-to-Face or Videoconference Treatment for Posttraumatic Stress Disorder, N/A, N/A, N/A,"Network Connection (sm) (in terms of time lapse)
Therapeutic alliance
Telepsychotherapy
","The results show that telepsychotherapy does not nega- tively affect the development of a therapeutic alliance in individuals with PTSD.
It was also found that the sense of presence felt during the videoconference and the perception of the session (complete immediately after the session) may be related to the thera- peutic alliance.", N/A,N/A,Thoughts(the quality of the therapeutic relationship),"Forty-six participants with PTSD received cognitive behavioral therapy, 17 of them by videoconference and 29 in person.", Low, Low,Myungho,2013-02-08,
101,"Wieser, Matthias J Pauli, Paul et al.",2010,"CyberPsychology, Behavior & Social Networking","Virtual Social Interactions in Social Anxiety-The Impact of Sex, Gaze, and Interpersonal Distance", No, No, No,"Eye Gaze (p)
Agent's gender","Two distances: 0.5m, 1.5m
Two gaze conditions: direct, averted
Two group: HSA, LSA
 ",Agent,No,"Behavior (gaze duration, head movement)
Physiological response(HR) ","39(20 High social anxiety 19 Low social anxiety groups), 162 female studnets were screened into high 20% and low 20% social anxiety groups. ", Low, Medium,Myungho,2013-02-08,
102,"Lin, Shu-Fang",2011,"CyberPsychology, Behavior & Social Networking",Effect of Opponent Type on Moral Emotions and Responses to Video Game Play, N/A, N/A, N/A,Anthropomorphic Appearance (sc),"Emotional differences beween human and monster opponants are measured on shooting video game. 
guilty: human opponant > monster-like character",Agent,No," Thoughts
( moral judgement, guilt, shame, hostility, and game
enjoyment )",120 (m60 w60 avr 21 year)  from a univ., Low, Low,Myungho,2013-02-08,
103,"Kassner, Matthew P
Wesselmann, Eric D
et al.",2012,"CyberPsychology, Behavior & Social Networking",Virtually Ostracized: Studying Ostracism in Immersive Virtual Environments,,,,,,,,,,,,Remo,2013-02-08,
104,"De Melo, Celso M.
Carnevale, Peter
Gratch, Jonathan",2012,Intelligent Virtual Agents,The Effect of Virtual Agents’ Emotion Displays and Appraisals on People’s Decision Making in Negotiation,Yes, No,Yes,"Emotiveness (p) 
Facial Expressions (sc)
Cooperative Behavior (r)","This paper is about the effect of a virtual agent with emotions in negotiation. Participants were told that they should negotiate with a virtual agent ( in this paper, the virtual agent is a recorded video ). The agent showed 5 different facial expressions after receiving the participant's first offer.",Agent,N/A,"Thought (perceived emotion of the agent, willingness of re-negotiate with the agent, agent's satisfaction of the offer, etc.)
","204 (from Amazon Mechanical Turk, diverse) ", Medium,High,Myungho,2013-02-08,
105,"Bouchard, Stéphane
Bernier, François
et al.",2013,"CyberPsychology, Behavior & Social Networking",Empathy Toward Virtual Humans Depicting a Known or Unknown Person Expressing Pain,,,,,,,,,,,,Remo,2013-02-08,
106,"Weaver, Andrew J
Lewis, Nicky",2012,"CyberPsychology, Behavior & Social Networking",Mirrored Morality: An Exploration of Moral Choice in Video Games,,,,,,,,,,,,Remo,2013-02-08,
107,"Mühlberger, Andreas
Wieser, Matthias J
Pauli, Paul",2008,CyberPsychology & Behavior,Visual Attention during Virtual Social Situations Depends on Social Anxiety, No, No,Yes,"Emotiveness (p) 
Facial Expressions (sc)","people's eyegaze behavior toward happy/angry characters in virtual elevator is measured in fear-relavant situation.
Happy > Angry",Agent,No,"Behavior (EOG, eye movement)",26 (14 w age:19-36) divided into High/Low social anxiety group, Medium, Medium,Myungho,2013-02-08,
108,"Riva, Giuseppe
Gaggioli, Andrea
Mantovani, Fabrizia",2008,CyberPsychology & Behavior,Are Robots Present? From Motor Simulation to “Being There”, N/A, N/A, N/A,Agency,"The author defines presence and social presence diffently from the widely accepted definitions, and devided them into 3 sub levels, applying them to robot.",Agent,No,N/A,N/A, Low, N/A,Myungho,2013-02-08,
109,"Vugt, Henriette C. Van
Bailenson, Jeremy N.
et al.",2010,ACM Transactions on Computer-Human Interaction,Effects of Facial Similarity on User Responses to Embodied Agents, No, No, No,"Facial similarity with the user,
Affordance,
Gender","They investigated the effects of facial similarity between the user and the agent in terms of involvement, psychological distance, intention to use.",Agent,No,"Thoughts ( involvement, distance, intention)
",64 undergraduate students, Medium, Medium,Myungho,2013-02-08,
110,"Koulouri, Theodora
Lauria, Stanislao
et al.",2012,ACM Transactions on Computer-Human Interaction,Are We There Yet? The Role of Gender on the Effectiveness and Efficiency of User-Robot Communication in Navigational Tasks, N/A, N/A,Yes,"Gender differences
","This study addresses gender differences in navigational task in terms of paired communication, i.e. MM MF FM FF, while one has a role of instructor(navigation system) and the other has a role of follower(robot) .",Agent,N/A,"Behavior ( completion time, # of turns, # of instructions, # of miscommunications ) ",56 participants from a UK university, Low, Medium,Myungho,2013-02-08,
111,"Cafaro, Angelo
Vilhjálmsson, Hannes Högni
et al.",2012,Intelligent Virtual Agents,First Impressions: Users’ Judgments of Virtual Agents’ Personality and Interpersonal Attitude in First Encounters,Yes,Yes, No,"Proxemics (sc)
Facial Expressions (sc)
Eye Gaze (p)","Within 12.5 seconds of interaction with agent, user formed impression based on behavior.
Proximity had impact on judgments of extraversion whereas smile and gaze on friendliness.
Interesting paper, because it explicitly tries to take the different psychological make-ups of the users into account --> good background section as well.",Agent,Yes (user controls avatar and sees different camera perspectives),"First impression of human surrogate.
Measured surrogate extraversion, friendliness, and likeability",32 subjects per trial (2 trials) recruited from campus (aged 21-60),High,High,Remo,2013-02-08,
112,"Tsai, Jason
Bowring, Emma
et al.",2012,Intelligent Virtual Agents,A Study of Emotional Contagion with Virtual Characters,Yes, No, No,Facial Expressions (sc),"Emotional contagion effect occurs for subjects watching agent’s still images with neutral or happy expressions.
Effect less if agent is introduced while user faces strategic decision. Effects return when decision has already been made

",Agent,No,Evoke emotions (contagion),415 random participants (Amazon Mechanical Turk; >18 years; 2/3 Indian), Low, Medium,Remo,2013-02-08,
113,"Segura, Elena Márquez
Kriegel, Michael
et al.",2012,Intelligent Virtual Agents,How Do You Like Me in This: User Embodiment Preferences for Companion Agents,Yes,Yes, No,"Physical Shape (sm)
Display Technology (sm)
Situational Plausibility (sc)","Participants in both condition groups (robot, VR-based agent) when given the choice would prefer to interact with the robot companion, mainly for its greater physical or social presence
 Subjects  also  found  the  robot  less  annoying  and  talked to  it  more  naturally
Preference for the robotic embodiment is not reflected in the users’ actual rating of the companion or their interaction with it → hypothesize that in a  task-based  context  a  user  focuses  much more on a companion’s behavior than its embodiment

", Avatar,No,Relationship between the embodiment of an artificial companion and user perception and interaction with it,42 users. Interacted with both embodiments., Medium, Medium,Remo,2013-02-08,
114,"Bergmann, Kirsten
Eyssel, Friederike
Kopp, Stefan",2012,Intelligent Virtual Agents,A Second Chance to Make a First Impression? How Appearance and Nonverbal Behavior Affect Perceived Warmth and Competence of Virtual Agents over Time,Yes, No, No,"Body Pose and Gestures (p)
Anthropomorphic Appearance (sc)","Ratings of perceived agent warmth depend on interaction effects of time and agent appearance (with time decrease of perceived warmth for the robot-like agent, stable for human).
Valuations of competence depend on the interaction of time and nonverbal behavior (independent of the agents’ appearance)

",Agent,No,Evaluate if first impressions of agent warmth and competence can be changed.,80 university students (ages 19-48; avg. age 25.11), Low, Low,Remo,2013-02-08,
115,"Silvervarg, Annika
Raukola, Kristin
et al.",2012,Intelligent Virtual Agents,The Effect of Visual Gender on Abuse in Conversation with ECAs,,,,,,,,,,,,Remo,2013-02-08,
116,"Al Moubayed, Samer
Skantze, Gabriel
Beskow, Jonas",2012,Intelligent Virtual Agents,Lip-Reading: Furhat Audio Visual Intelligibility of a Back Projected Animated Face, No,Yes, No,"Auditory Stimuli (sm)
Physical Shape (sm)
Display Technology (sm)","Audio-visual speech intelligibility (lip readability) is slightly improved when the agent is projected onto a static 3D face model  (compared to 2D screen).
No significant different for changed viewing angles.",Agent,No,Investigate contribution of back-projected robot head on speech intelligibility reported by users,"10  normal  hearing  subjects, 
with normal or corrected to normal vision", Low, Medium,Remo,2013-02-08,
117,"Gama, Sandra
Barata, Gabriel
et al.",2012,Intelligent Virtual Agents,A Model for Social Regulation of User-Agent Relationships,Yes, No, No,"Emotiveness (r) 
Emotiveness (p) 
Proxemics (sc)
Facial Expressions (sc)","Authors present a model that regulates the development of user-agent relationships, articulating the Social Penetration Theory with personality modeling. Users perceive agent with this model as more interesting, while increasing its believability, engagement and fun",Agent,No,Increasing believability of surrogate by employing social science theories to guide surrogate behavior.,30 university students. 80% are between 18-25 years old., Medium, Medium,Remo,2013-02-08,
118,"Krenn, Brigitte
Schreitter, Stephanie
et al.",2012,Intelligent Virtual Agents,Social Evaluation of Artificial Agents by Language Varieties,,,,,,,,,,,,Remo,2013-02-08,
119,"Koda, Tomoko
Kishi, Haruka
et al.",2012,Intelligent Virtual Agents,Cultural Study on Speech Duration and Perception of Virtual Agent’s Nodding,,,,,,,,,,,,Remo,2013-02-08,
120,"Obaid, Mohammad
Damian, Ionut
et al.",2012,Intelligent Virtual Agents,Cultural Behaviors of Virtual Agents in an Augmented Reality Environment,,,,,,,,,,,,Remo,2013-02-08,
121,"Endrass, Birgit
Nakano, Yukiko
et al.",2011,Intelligent Virtual Agents,Culture-Related Topic Selection in Small Talk Conversations across Germany and Japan,N/A,N/A,N/A,N/A,"Study of preference in conversation topics performed by virutal characters in terms of cultural difference.

No interacting with virtual characters, but just watching videos that virtual characters present conversations.",Agent,No,Thoughts (Preference of conversation topics in terms of cultural difference),over 40 university students (German and Japanese),Low,Medium,Kangsoo,2013-02-08,
122,"Huang, Lixing
Morency, Louis-Philippe
Gratch, Jonathan",2011,Intelligent Virtual Agents,Virtual Rapport 2.0,Yes,Yes,No,"Eye Gaze (p, r)
Body Pose and Gestures (p, r)
Talk/Speak (p, r)
Tracking Accuracy (sm)
Auditory Stimuli (sm)","Comparing their current version of virtual agent (Virtual Rapport 2.0) with previous one (Rapport Agent) in terms of 4 different dimensions: rapport, naturalness, backchannel feedback, and End-of-Turn. Verifying the improvement of Virtual Rapport 2.0.",Agent,No,"Thoughts (rapport, overall naturalness, backchannel feedback and end-of-turn prediction)",21 participants,High,High,Kangsoo,2013-02-08,v
123,"Kulms, Philipp
Krämer, Nicole C.
et al.",2011,Intelligent Virtual Agents,It’s in Their Eyes: A Study on Female and Male Virtual Humans’ Gaze,Yes, No, No,"Gender stereotype
Eye Gaze (p)
Talk/Speak (p)","4 agent conditions: low gaze vs. high gaze, female vs. male
34"" monitor
Actual behavior and its evaluation is more important for evaluation than gender stereotypes",Agent,No,"emotional state(PANAS), feminine/masculine attributes(BSRI), social presence
participants' anwers to the Agent's questions
","72 (40 female, 32 male), mean age 35.03 (SD = 12.11), the range between 19 and 59 years.", Low, Low,Myungho,2013-02-26,
124,"Pütten, AstridM.
Hoffmann, Laura
et al.",2011,Intelligent Virtual Agents,Quid Pro Quo? Reciprocal Self-disclosure and Communicative Accomodation towards a Virtual Interviewer,Yes, No, No,"Talk/Speak (p)
Agency (p)","the influence of reciprocal self-disclosure and wordiness on the amount of information humans disclose in front of a virtual interviewer

- Independent Variables: Agent's wordiness, reciptorical self-disclosure as an interviewer
- Dependent Variables: Perception of Virtual interviewer, Social presence(co-presence of the Nowak and Biocca Presence Scale), General Evaluation of the Interview, Behavioral Measurements (amount of words, breadth of self-disclosure)
- Moderating Variables: Personality, Disclosure

- when the agent was talkative, participants were more likely to reveal information
- when the agent disclosed information, participants felt more co-presence
- The talkative interviewer was generally evaluated more positively
- Reciprocal self-disclosure unexpectedly did not influence participants’ answers",Agent,No,"Perception of Virtual interviewer, Social presence(co-presence of the Nowak and Biocca Presence Scale), General Evaluation of the Interview, Behavioral Measurements (amount of words, breadth of self-disclosure)",Eighty-one students (43 females and 38 males) were recruited via general advertising on campus. The mean age was 23.19 years (SD=2.75) ranging from 18 to 30 years,High,High,Myungho,2013-05-26,
125,"Poppe, Ronald
Truong, Khiet P.
Heylen, Dirk",2011,Intelligent Virtual Agents,"Backchannels: Quantity, Type and Timing Matters",Yes, No, No,"Body Pose and Gestures (sc)
Talk/Speak (r)","The originally performed type and timing of a backchannel appeared to be more human-like, compared to a switched type or random timing. Found that nods are more often appropriate than vocalizations. For quantity, too few or too many backchannels per minute appeared to reduce the quality of the behavior.

",Agent,No,Rate human-likeness of animated virtual listener → human-likeness of backchannel behavior (visual nod and short vocalizations),24 university students/professors. Mean age 32.8 year., Medium, Medium,Remo,2013-02-08,
126,"Obaid, Mohammad
Niewiadomski, Radosław
Pelachaud, Catherine",2011,Intelligent Virtual Agents,Perception of Spatial Relations and of Coexistence with Virtual Agents,Yes,Yes, No,"Talk/Speak (r)
Proxemics (sc)
Display Technology (sm)"," People compensate their voice according to the distance during the interaction with both augmented reality (AR) and virtual reality (VR) based agents
In AR-based scenario users perceive stronger the distance between them and the virtual agent
The results do not show any signiﬁcant diﬀerences regarding the notion of coexistence of the user

", Avatar,No,"Perception of spatial relations and the perception of coexistence are studied for virtual agents embedded in real and virtual worlds
Authors also measure involuntary voice modulation of study participants.",32 participants from New Zealand. Mean age 29.7. Different VR/AR experience levels,High, Medium,Remo,2013-02-08,
127,"Lee, Kwan Min
Jung, Younbo
et al.",2006,International Journal of Human-Computer Studies,"Are Physically Embodied Social Agents Better than Disembodied Social Agents?: The Effects of Physical Embodiment, Tactile Interaction, and People's Loneliness in Human–Robot Interaction",N/A,N/A,No,N/A,"Not a human surrogate (Sony Aibo)
Study on effects of physical embodiment on the feeling of an agent’s social presence.",Agent (Sony Aibo: not human-like robot),No,"Beliefs/illusions (social presence)
Thoughts (evaluation of agent)",32 participants for each experiment,Medium,High,Kangsoo,2013-03-06,
128,"Dinh, Huong Q.
Walker, Neff
Song, Chang
Kobayashi, Akira
Hodges, Larry F.",1999,IEEE Virtual Reality (VR),Evaluating the Importance of Multi-sensory Input on Memory and the Sense of Presence in Virtual Environments,N/A,N/A,No,N/A,"Inhabiter-Avatar relation.

Multi-modality (visual, auditory, tactile and olfactory sensory cues) increases both the sense of presence and the memory for objects in VE.",Avatar,"Yes (indirectly, evaluation of inhabiter's presence in VE)",N/A,"322 students recruited from undergraduate classes at the Georgia Institute of Technology..
compensation: partial course credit. All participants had no or limited experience (one time) with a VE.",Medium,Medium,Kangsoo,2013-02-15,
129,"Insko, Brent E",2003,"Being There: Concepts, Effects and Measurement of User Presence in Synthetic Environments","Measuring Presence: Subjective, Behavioral and Physiological Methods",N/A,N/A,N/A,N/A,"Book chapter describes various methods to measure the ""Presence""",N/A,N/A,N/A,N/A,N/A,Medium,Kangsoo,2013-02-15,
130,"Bailenson, Jeremy N
Yee, Nick
Merget, Dan
Schroeder, Ralph",2006,Presence: Teleoperators and Virtual Environments,"The Effect of Behavioral Realism and Form Realism of Real-Time Avatar Faces on Verbal Disclosure, Nonverbal Disclosure, Emotion Recognition, and Copresence in Dyadic Interaction",Yes,Yes,No,"Body Pose and Gestures (p, r)
Emotiveness (p, r) 
Talk/Speak (p, r)
Graphical Fidelity (sm)","Observing whether or not participants revealed more about themselves in terms of
different forms and behaviors of avatar.

Experimental conditions:
i. voice only: low form / low behavior
ii. video-conference: high form / high behavior
iii.emotibox: low form / high behavior",Avatar,No,Behaviors (self disclosure),"30 undergraduate students (12 male, 18 female),
compensation: $10",High,High,Kangsoo,2013-02-15,v
131,"Jin, Seung-A Annie",2011,Presence: Teleoperators and Virtual Environments,"It Feels Right. Therefore, I Feel Present and Enjoy’’: The Effects of Regulatory Fit and the Mediating Roles of Social Presence and Self-Presence in Avatar-Based 3D Virtual Environments",N/A,N/A,N/A,N/A,"The study was focused on the inhabiter's 

Regulatory fit significantly increases users’ enjoyment of virtual social interaction and postexperimental health behavioral intentions as well as feelings of social presence and self-presence during their interactions with a virtual interlocutor in 3D VEs.",Avatar,"Yes (indirectly, evaluation of inhabiter's presence in VE)","Enjoyment
Beliefs/Illusions (Self/Social Presence)","Mean of Age: 19.80, Standard Deviation of Age: 1.01",Medium,High,Kangsoo,2013-02-15,
